Continent,Region/Country,Product,Variable,Year,Unit,Quantity
Europe,Austria,Vineyard,Surface Area,2022,ha, 44 728
Europe,Bulgaria,Vineyard,Surface Area,2022,ha, 65 261
Europe,Cyprus,Vineyard,Surface Area,2022,ha, 7 330
Europe,Czech Republic,Vineyard,Surface Area,2022,ha, 17 885
Europe,France,Vineyard,Surface Area,2022,ha, 812 000
Europe,Germany,Vineyard,Surface Area,2022,ha, 103 400
Europe,Greece,Vineyard,Surface Area,2022,ha, 95 922
Europe,Italy,Vineyard,Surface Area,2022,ha, 718 198
Europe,Malta,Vineyard,Surface Area,2022,ha,  395
Europe,Portugal,Vineyard,Surface Area,2022,ha, 193 270
Europe,Romania,Vineyard,Surface Area,2022,ha, 188 428
Europe,Russia,Vineyard,Surface Area,2022,ha, 98 900
Europe,Serbia,Vineyard,Surface Area,2022,ha, 20 113
Europe,Slovakia,Vineyard,Surface Area,2022,ha, 14 364
Europe,Spain,Vineyard,Surface Area,2022,ha, 954 734
Europe,Sweden,Vineyard,Surface Area,2022,ha,  150
Europe,Albania,Wine,Exports,2022,1000 hl,
Europe,Albania,Wine,Imports,2022,1000 hl,  54
Europe,Albania,Wine,Production,2022,1000 hl,  275
Europe,Austria,Wine,Exports,2022,1000 hl,  660
Europe,Austria,Wine,Imports,2022,1000 hl,  700
Europe,Austria,Wine,Production,2022,1000 hl, 2 327
Europe,Belarus,Wine,Production,2022,1000 hl,  340
Europe,Belgium,Wine,Exports,2022,1000 hl, 1 405
Europe,Belgium,Wine,Imports,2022,1000 hl, 3 344
Europe,Belgium,Wine,Production,2022,1000 hl,  30
Europe,Bosnia and Herzegovina,Wine,Imports,2022,1000 hl,  87
Europe,Bulgaria,Wine,Exports,2022,1000 hl,  328
Europe,Bulgaria,Wine,Production,2022,1000 hl,  747
Europe,Croatia,Wine,Exports,2022,1000 hl,  38
Europe,Croatia,Wine,Imports,2022,1000 hl,  211
Europe,Croatia,Wine,Production,2022,1000 hl,  561
Europe,Cyprus,Wine,Production,2022,1000 hl,  79
Europe,Czech Republic,Wine,Exports,2022,1000 hl,  86
Europe,Czech Republic,Wine,Imports,2022,1000 hl, 1 703
Europe,Czech Republic,Wine,Production,2022,1000 hl,  586
Europe,Denmark,Wine,Exports,2022,1000 hl,  382
Europe,Denmark,Wine,Imports,2022,1000 hl, 1 816
Europe,Denmark,Wine,Production,2022,1000 hl,  1
Europe,Estonia,Wine,Exports,2022,1000 hl,  51
Europe,Estonia,Wine,Imports,2022,1000 hl,  235
Europe,Finland,Wine,Imports,2022,1000 hl,  705
Europe,France,Wine,Exports,2022,1000 hl, 13 966
Europe,France,Wine,Imports,2022,1000 hl, 6 104
Europe,France,Wine,Production,2022,1000 hl, 45 590
Europe,Germany,Wine,Exports,2022,1000 hl, 3 470
Europe,Germany,Wine,Imports,2022,1000 hl, 13 406
Europe,Germany,Wine,Production,2022,1000 hl, 8 940
Europe,Greece,Wine,Exports,2022,1000 hl,  290
Europe,Greece,Wine,Imports,2022,1000 hl,  151
Europe,Greece,Wine,Production,2022,1000 hl, 2 127
Europe,Hungary,Wine,Exports,2022,1000 hl, 1 378
Europe,Hungary,Wine,Production,2022,1000 hl, 2 900
Europe,Iceland,Wine,Exports,2022,1000 hl,
Europe,Iceland,Wine,Imports,2022,1000 hl,  56
Europe,Ireland,Wine,Exports,2022,1000 hl,  37
Europe,Ireland,Wine,Imports,2022,1000 hl,  804
Europe,Ireland,Wine,Production,2022,1000 hl,
Europe,Italy,Wine,Exports,2022,1000 hl, 21 901
Europe,Italy,Wine,Imports,2022,1000 hl, 2 213
Europe,Italy,Wine,Production,2022,1000 hl, 49 843
Europe,Latvia,Wine,Exports,2022,1000 hl, 1 120
Europe,Latvia,Wine,Imports,2022,1000 hl, 1 290
Europe,Lithuania,Wine,Exports,2022,1000 hl,  732
Europe,Lithuania,Wine,Imports,2022,1000 hl,  991
Europe,Lithuania,Wine,Production,2022,1000 hl,  32
Europe,Luxemburg,Wine,Production,2022,1000 hl,  85
Europe,Malta,Wine,Exports,2022,1000 hl,  35
Europe,Malta,Wine,Imports,2022,1000 hl,  91
Europe,Malta,Wine,Production,2022,1000 hl,  13
Europe,Moldova,Wine,Exports,2022,1000 hl, 1 041
Europe,Moldova,Wine,Production,2022,1000 hl, 1 400
Europe,Montenegro,Wine,Exports,2022,1000 hl,  50
Europe,Netherlands,Wine,Exports,2022,1000 hl, 1 123
Europe,Netherlands,Wine,Imports,2022,1000 hl, 4 605
Europe,Netherlands,Wine,Production,2022,1000 hl,  10
Europe,Norway,Wine,Exports,2022,1000 hl,  26
Europe,Norway,Wine,Imports,2022,1000 hl,  935
Europe,Poland,Wine,Exports,2022,1000 hl,  134
Europe,Poland,Wine,Imports,2022,1000 hl, 1 539
Europe,Poland,Wine,Production,2022,1000 hl,  5
Europe,Portugal,Wine,Exports,2022,1000 hl, 3 276
Europe,Portugal,Wine,Imports,2022,1000 hl, 2 841
Europe,Portugal,Wine,Production,2022,1000 hl, 6 777
Europe,Republic of North Macedonia,Wine,Exports,2022,1000 hl,  661
Europe,Republic of North Macedonia,Wine,Production,2022,1000 hl,  936
Europe,Romania,Wine,Exports,2022,1000 hl,  200
Europe,Romania,Wine,Imports,2022,1000 hl,  550
Europe,Romania,Wine,Production,2022,1000 hl, 3 889
Europe,Russia,Wine,Exports,2022,1000 hl,  58
Europe,Russia,Wine,Imports,2022,1000 hl, 3 927
Europe,Russia,Wine,Production,2022,1000 hl, 4 700
Europe,Serbia,Wine,Exports,2022,1000 hl,  111
Europe,Serbia,Wine,Imports,2022,1000 hl,  222
Europe,Slovakia,Wine,Exports,2022,1000 hl,  399
Europe,Slovakia,Wine,Production,2022,1000 hl,  334
Europe,Slovenia,Wine,Production,2022,1000 hl,  546
Europe,Spain,Wine,Exports,2022,1000 hl, 21 209
Europe,Spain,Wine,Imports,2022,1000 hl,  663
Europe,Spain,Wine,Production,2022,1000 hl, 35 703
Europe,Sweden,Wine,Exports,2022,1000 hl,  80
Europe,Sweden,Wine,Imports,2022,1000 hl, 2 076
Europe,Sweden,Wine,Production,2022,1000 hl,
Europe,Switzerland,Wine,Exports,2022,1000 hl,  13
Europe,Switzerland,Wine,Imports,2022,1000 hl, 1 782
Europe,Switzerland,Wine,Production,2022,1000 hl,  992
Europe,Ukraine,Wine,Exports,2022,1000 hl,  57
Europe,Ukraine,Wine,Imports,2022,1000 hl,  369
Europe,Ukraine,Wine,Production,2022,1000 hl,  660
Europe,United Kingdom,Wine,Exports,2022,1000 hl,  326
Europe,United Kingdom,Wine,Imports,2022,1000 hl, 12 992
Europe,United Kingdom,Wine,Production,2022,1000 hl,  91